NOMBRE,GRAD_Y,GRAD_X
"KOMO KOMO",28.47348017,-16.27647280
"VIVERES CORREA",28.44033188,-16.29564639
"VIVERES ANGELITA",28.45488151,-16.30018707
"SUPERMERCADO SUPERDINO",28.44287241,-16.31269279
"PANADERIA EL LAUREL",28.44025454,-16.32224336
"CARNICERIA EL SOBRADILLO",28.44151183,-16.31581215
"BOUTIQUE DEL PAN ISABEL",28.43015514,-16.31007998
"FRUTERIA SURLO",28.46541172,-16.27075011
"TSANA SALUD NATURAL",28.46814608,-16.25424599
"VIVERES ZENAIDA",28.43779209,-16.29543204
"CARNICERIA VICENTE",28.46657551,-16.27118429
"PERALO Y GONZALEZ",28.46282599,-16.25158200
"CARNICERIA CHARCUTERIA DIEGO E HIJAS",28.46302599,-16.25217500
"CARNICERIA FIDEL",28.46273999,-16.25149900
"CARNICERIA TAKNIWIN",28.46899557,-16.26236587
"CARNICERIA CHARCUTERIA HUMBERTO",28.46268399,-16.25175100
"CARNICERIA SOSA",28.46509611,-16.27062285
"CARNICAS TEIDE",28.46308999,-16.25169600
"CARNICERIA AGROPECUARIA ISLA",28.46292099,-16.25151000
"CONGELADOS 5 OCEANOS",28.44953889,-16.27526378
"MI FRUTERIA",28.46909430,-16.26233631
"CONGELADOS CRUZ DEL SENOR",28.46379699,-16.27088900
"CONGELADOS HERBANIA",28.42135670,-16.31810208
"VIVERES ANA",28.48068352,-16.24298307
"CONGELADOS RABERSA",28.49541706,-16.21674154
"CASA RICARDO",28.46318899,-16.25214300
"SALAZONES RIO",28.46303199,-16.25175400
"CASA RICARDO",28.46702829,-16.25037310
"ANTOJITOS DE MI TIERRA",28.46295299,-16.25169100
"ECOTIENDA HERBORA",28.46560174,-16.27016734
"FRUTERIA VENTITA DE BEA",28.44655757,-16.29837508
"FRUTAS Y VERDURAS ANAGA 21",28.46303099,-16.25221600
"FRUTAS Y VERDURAS CANARIAS",28.46776508,-16.26186952
"ABREPUNO FUTAS Y VERDURAS",28.43011958,-16.32052477
"FRUTAS Y VERDURAS MI SOL",28.47115278,-16.27203588
"FACU FRUTAS",28.46820707,-16.26360429
"FRUTAS Y VERDURAS MINIMARKET",28.45547363,-16.28022012
"FRUTERIA FRANCISCO Y CONCHITA",28.46697838,-16.25807655
"FRUTERIA EL PRECIO JUSTO",28.46266699,-16.25151600
"FRUTERIA DON MELON",28.44592334,-16.30897392
"FRUTERIA EL AGRICULTOR DEL NORTE",28.46986605,-16.26344934
"FRUTERIA CANDE",28.46990672,-16.27201177
"FRUTERIA FRANCISCO Y CONCHITA",28.46699720,-16.27245064
"FRUTERIA LA HUERTA",28.46171199,-16.27347800
"FRUTERIA MAGE",28.46398899,-16.27107800
"FRUTERIA LA CIUDADELA",28.46649920,-16.27076926
"FRUTERIA MARY",28.45180587,-16.28134823
"VENTITA DE NELSON",28.46649554,-16.24954628
"FRUTERIA FRESCURA",28.44900773,-16.29788256
"SUPERMERCADO SUMA",28.47333909,-16.25099472
"SUPERMERCADO EL ROSARIO",28.44655996,-16.29758294
"CARNICERIA ANTONIO",28.47539417,-16.24890773
"SUPERMERCADO ALTEZA",28.48059782,-16.24479904
"THE GREEN FAMILY",28.46983024,-16.25426525
"FRUTAS Y VERDURAS ANAGA",28.47924928,-16.24478593
"PASTELERIA EL PUERTOREALENO",28.47943816,-16.24478101
"MAS QUE BIO",28.46907190,-16.24793505
"SUPERMERCADO UNIDE",28.50518015,-16.19242211
"VIVERES PEREGRINA",28.50630433,-16.19418597
"PERALO Y GONZALEZ",28.46283099,-16.25168300
"FRUTERIA VALLESECO",28.48763551,-16.23780179
"PRODUCTOS ESTRELLAS DE CANARIAS",28.46317699,-16.25209600
"VIVERES CELYMAR",28.47030492,-16.26449844
"SANTA ROSALIA COMIDAS PARA LLEVAR",28.47040435,-16.25086903
"VIVERES COVADONGA",28.47059043,-16.26446342
"CASA RICARDO",28.42670775,-16.30129955
"CONFITERIA JULIA",28.44381182,-16.29755620
"VIVERES JUAN XXIII",28.45010948,-16.28518719
"DULCERIA EUSEBIO",28.44496099,-16.29704300
"VIVERES MARY",28.45260534,-16.28115303
"DULCERIA LA SIRENA",28.44710999,-16.29918000
"HERBOLARIO NATURALEZA SANA",28.46663341,-16.25627483
"SUPERMERCADO SUPERDINO",28.45271446,-16.28393388
"SUPERMERCADO UDACO",28.46938880,-16.26289777
"FRUTERIA AGUACATE",28.44757436,-16.30383573
"PANADERIA ALTEZA",28.46060399,-16.27453400
"FRUTERIA CASANOVA",28.46675113,-16.25691594
"PASTELERIA CEJOTA",28.44654899,-16.29797800
"PASTELERIA DIAZ",28.44032690,-16.29591000
"PANADERIA LAS PIRAMIDES",28.44789299,-16.30059400
"PASTELERIA DIAZ",28.45377641,-16.29722653
"PASTELERIA DIAZ",28.44784699,-16.29799800
"PASTELERIA FLOR",28.45249424,-16.29895900
"PASTELERIA LA CONDESA",28.44818499,-16.30076100
