NOMBRE,GRAD_Y,GRAD_X
"GLADIOLOS VII",28.4606338338,-16.2671563238
"GLADIOLOS VIII",28.4615784933,-16.271192949
"FELIPE PEDRELL",28.4650368782,-16.2705967695
"ALAMEDA I RED",28.4682779792,-16.2476761246
"ALAMEDA II MUELLES",28.4683155117,-16.2475128796
"ALAMEDA III TREN",28.4683565204,-16.2475825464
"ALAMEDA IV TOBOGAN",28.4684957135,-16.247618964
"LAS INDIAS",28.468391488,-16.272479553
"BARRIO ALEGRIA",28.4835479398,-16.2447738513
"ANAZA MENORES",28.4219618349,-16.300401074
"MERCADO I",28.4636186374,-16.2523201855
"MERCADO II",28.4617696299,-16.2539753029
"PARQUE LA GRANJA",28.4624220229,-16.2658496625
"SANTA CRUZ DEL NORTE II",28.4689236829,-16.2544474911
"CABO LLANOS",28.4568112918,-16.2555957259
VALLESECO,28.48939612,-16.2382505014
"TOME CANO I",28.4603239747,-16.262825342
"TOME CANO II",28.4602879252,-16.2626332878
"TOME CANO III",28.460179523,-16.262666655
"TOME CANO IV",28.4602120266,-16.2628525513
"RAMBLA SANTA CRUZ N 149",28.475847518,-16.2487129239
"RAMBLA SANTA CRUZ N 153",28.4762227312,-16.2476839378
"JUAN XXIII",28.4505921665,-16.2854159467
"ASOCIACION DE VECINOS EL TABLERO",28.4249572878,-16.3336000163
"ASOCIACION DE VECINOS LLANO DEL MORO",28.4474026643,-16.3292864556
"CARRETERA DEL ROSARIO",28.4517199288,-16.2822793902
"SARGENTOS PROVISIONALES 2",28.452173145,-16.2873854219
AFUR,28.5550134783,-16.2493828073
"PLAZA BENEHARO",28.4513693606,-16.2834233452
"CUCHILLITOS DE TRISTAN 2",28.4564484142,-16.2769595827
"PEATONAL LOS LLANOS",28.458209697,-16.2545136279
GANDHI,28.4547404632,-16.2757315786
"PARQUE CULANTRILLO",28.4327949476,-16.3193606924
PANAMA,28.4553704116,-16.2664050626
"CEPSA-DIVINA PASTORA",28.4572574108,-16.2656051718
"NUEVO OBRERO",28.4493615707,-16.2902751853
IFARA,28.4825654023,-16.2615533795
ACORAN,28.4180867737,-16.3045493309
"ASOCIACION DE VECINOS SOBRADILLO",28.441559982,-16.3162398383
"LLANO ALEGRE",28.4475710819,-16.2825454122
"IGLESIA CUEVA BERMEJA",28.4963162969,-16.2168469473
PINTADERA,28.4389224084,-16.3073429652
"PLAZA PRINCIPE",28.4680822621,-16.2506997148
"ASOCIACION DE VECINOS HUMILLADERO",28.4215088556,-16.3175342239
"PASEO LA ESTRELLA",28.4489927143,-16.2893315662
TAGANANA,28.561049173,-16.2169466912
"BARRIO PERU",28.4646569417,-16.2729370999
"VIERA Y CLAVIJO 1",28.4651148917,-16.2616485207
"VIERA Y CLAVIJO 2",28.4651720675,-16.2617948676
ELICIO,28.4379339362,-16.3117029222
ALMACIGA,28.5720149999,-16.1976385742
"GARCIA ESCAMEZ MAYORES",28.4552655661,-16.2729368683
"SAN ANDRES",28.5058104058,-16.1914265801
"LA TORRE",28.5055345877,-16.1922758436
"PLAZA DEL ROSARIO",28.4525362307,-16.275237217
"CURVA EL ARCO IRIS",28.4469940502,-16.2879582082
TAGORE,28.4568061924,-16.2858357708
