NOMBRE,GRAD_Y,GRAD_X
"ESCUELA INFANTIL TARA",28.4232618465,-16.3003648675
"CPEE ESCUELITA DE ILUSIONES",28.4648672566,-16.3272191182
"CPEI EL JARDIN",28.4652851076,-16.2603470887
"CEIP SANTA MARIA DEL MAR",28.4278425699,-16.3083731786
"CEIP EL CHAPATAL",28.4615995302,-16.2642986855
"CEIP CHIMISAY",28.4583259735,-16.2828513109
"IES EL CHAPATAL",28.4616981084,-16.2639740482
"CEIP SALAMANCA",28.4696005857,-16.2655173585
"CADGE INTERNACIONAL DANZA TENERIFE",28.4699222797,-16.2628837808
"ESCUELA DE ARTE FERNANDO ESTEVEZ",28.4614685153,-16.2770791867
"IFPMP SANTA CRUZ DE TENERIFE",28.5064487803,-16.1944393752
"CPEIPS MONTESSORI",28.4691417618,-16.2496446179
"CEEE HERMANO PEDRO",28.4501607057,-16.2808525457
"CPEI PARQUE",28.4700955156,-16.2537851457
"CPFP FORMACION EUROPA SUR CESUR",28.4694599455,-16.2545969934
"CPEIPS HOGAR ESCUELA MARIA AUXILIADORA",28.4717827204,-16.2489477589
"CEIP SANTA CRUZ DE CALIFORNIA",28.4393291599,-16.3222177923
"IES EL SOBRADILLO",28.4370952142,-16.3170547542
"CPEI HIGOPICO",28.4235635682,-16.3061310131
"EMM SANTA CRUZ DE TENERIFE",28.4611,-16.2749231364
"CEIP VILLA ASCENSION",28.4649762357,-16.2758605252
"CEFP CESAR MANRIQUE",28.4559592955,-16.2828719306
"CPEIPS ECHEYDE I",28.451713006,-16.2899781316
"CPEIPS ESCUELAS PIAS",28.4730168112,-16.259168846
"CPEIPS HISPANO INGLES",28.4710160682,-16.2574652216
"CPEI MIMITOS",28.4731278051,-16.2567349986
"CPEI CAPERUCITA ROJA",28.4747317515,-16.2547465773
"CPEI PIOLYNS",28.4745554948,-16.2550206118
"CPEI GLOBITOS",28.4167195384,-16.3090651163
"CPEIPS RODRIGUEZ ALBERTO",28.4675811753,-16.2779118355
"CEIP HERMANOS ESTEVANEZ MURPHY",28.4699791167,-16.2775492136
"CEO BETHENCOURT Y MOLINA",28.4365610666,-16.3091489337
"CPES JULIO VERNE TENERIFE",28.4596276537,-16.2784137178
"CEIP SAN FERNANDO",28.466105506,-16.2602832074
"MAC SALA DE EXPOSICIONES",28.4676820814,-16.2538817172
"CPFP ENTRENADORES DE FUTBOL",28.459568184,-16.2648510575
"CEIP RICARDO HODGSON",28.5692572709,-16.1591509006
"EEI ASUNCION DGPM",28.4649691339,-16.2630669454
"CEIP OFRA SANTA CLARA",28.4569729652,-16.2878875705
"EEI ANAGA DGPM",28.469916688,-16.265867379
"CEIP FLOPPY BILINGUE",28.4640363659,-16.2747309765
"CPEI MARIA ISABEL SARMIENTO",28.4884959844,-16.2377238013
"IES OFRA",28.4545650556,-16.2864143059
"EEI BENTENUYA DGPM",28.4714650992,-16.2735660756
"CPEI TAGARA",28.4760968898,-16.2581088575
"CPEIPS HISPANO",28.4722344567,-16.2776748729
"CEIP LOS DRAGOS",28.45959154,-16.267620753
"CPEI LA VACA PACA",28.4620134868,-16.2816125883
"PLAY KIDS",28.4722539647,-16.2519808572
"CINE VICTOR",28.467607,-16.261147
"CEIP ALFONSO SPINOLA",28.4859643347,-16.247119348
"IES PADRE ANCHIETA",28.4561531627,-16.2967223107
"CPEI NANIN",28.464908233,-16.2678153265
"CPEI LA PEQUENA ALDEA",28.4290140458,-16.3405494279
"CPEI CHISPAS",28.4724863808,-16.250413562
"CEP SANTA CRUZ DE TENERIFE",28.4684506614,-16.2748691647
"CPFP LOS GLADIOLOS",28.4622038374,-16.271226475
"IES ANAGA",28.4865177721,-16.2475391284
"CPEI GUSYLUZ",28.4713568531,-16.2559002292
"CPEI CRISOL DE AMISTAD",28.4507341764,-16.2882964646
"CEIP BUENAVENTURA BONNET",28.4536996578,-16.2803951671
"CEIP ISABEL LA CATOLICA",28.4602487824,-16.2539033791
"CPFP ICSE",28.4573745124,-16.2559042255
"CPEI ARCO IRIS",28.4451064859,-16.3001296752
"EEI NINO JESUS DGPM",28.4452351763,-16.2966137108
"CPEIPS SAN JERONIMO",28.4465116578,-16.3016367174
"CEIP JULIAN ROJAS DE VERA",28.561501533,-16.2201891832
"CEIP RAFAEL GAVINO DEL BOSQUE",28.4925255787,-16.2264057587
"CEIP LAS CARBONERAS",28.5539856746,-16.2770455365
