NOMBRE,GRAD_Y,GRAD_X
"LIBRERIA IGLESIA EVANGELICA DE LA GRACIA TENERIFE",28.43755262,-16.31854036
"ABM REXELU",28.45424660,-16.26909307
HYUNCAN,28.45441823,-16.26952074
SAMMIC,28.45392853,-16.26979129
"INSYTE INSTALACIONES",28.44324790,-16.28448120
"SUMINISTROS METALICOS DE CANARIAS SUMECA",28.44633563,-16.28512679
ILUBOX,28.44580635,-16.27303541
EMBROCAN,28.43934660,-16.28338051
"XIAO 2014U",28.44320914,-16.28033283
FACTORII,28.44281310,-16.28059557
"HERRERA ALONSO EUROMUEBLES",28.44321452,-16.28936991
"HERRERA ALONSO EUROMUEBLES",28.44312237,-16.28913275
"CANATEL TELECOMUNICACIONES",28.45378168,-16.26808622
"TECNISUR COPIADORAS",28.45352648,-16.26801267
"VMV COSMETIC GROUP ISLAS CANARIAS",28.45359610,-16.26795484
"GOTAS DE AGUA",28.45379492,-16.26881396
"BINARY SISTEMS",28.45486023,-16.26627730
"GOTAS DE AGUA TENDENCIAS",28.45466519,-16.26641135
"QUALITY CANARIAS QI CANARIAS",28.45476209,-16.26634416
"TOPCON POSITIONING SPAINU",28.45473962,-16.26654611
"DISTRIBUCIONES Y REPRESENTACIONES BIOMEDICAS DIREX",28.45501129,-16.26634769
"GABOL LIFE IN SIDE",28.44349080,-16.28525096
"LABORATORIOS KOSEI",28.44386601,-16.28478178
"GESTABAC CANARIAS",28.44291274,-16.28492820
"MULTITIENDA CD CHIMISAY TEAM",28.45217244,-16.28125125
"KIOSCO LA ABEJERA",28.45469580,-16.27282428
"ISSACHAR FASHION",28.44369113,-16.28200044
SIMPLEX,28.44377485,-16.28191381
"HERRAJES FAMAR",28.44367496,-16.28033607
"INTEGRAL INFORMATICA IMPORT",28.44434233,-16.27993428
"VISUAL PRO",28.47129489,-16.25092080
OSITEL,28.43882009,-16.28269332
"ABERTIS TELECOM",28.43826598,-16.28305420
"ALMACENES NUMERO 1 DEPOSITO",28.45857344,-16.30106744
"COMERCIAL ALTE - WOLFGANG KUHN",28.44534100,-16.28450492
"BALMES SISTEMAS CASH BAUTE CANARIAS",28.44359877,-16.28173413
"CANARIAS BLUE",28.44530533,-16.28490275
"CENTRO LA ESFERA",28.44564993,-16.28490913
"BOLSOS MODA MUNDIAL",28.44648676,-16.28494132
"HISPANO KAYCEE",28.44619438,-16.28681127
"DISTRIBUCIONES Y REPRESENTACIONES BIOMEDICAS DIREX",28.45492981,-16.26640889
"KIOSCO DOS HERMANAS",28.46617524,-16.25690459
"BAZAR JIA MEI",28.45333563,-16.29721524
