NOMBRE,GRAD_Y,GRAD_X
"IGLESIA SAN MATIAS APOSTOL",28.44037344,-16.29785042
"ASOCIACION CULTURAL NUESTRA SENORA DE GUADALUPE",28.43801790,-16.29495814
"ASOCIACION DE PENSIONISTAS LA MONTANA DE SAN MATIAS",28.44219113,-16.29679696
"ASOCIACION DE VECINOS CRUZ DE TINCER",28.44549642,-16.30417610
"ASOCIACION CONSUMIDORES USUARIOS NIVARIA",28.45169233,-16.28332235
"ASOCIACION PROVINCIAL AMAS DE CASA ATLANTIDA",28.46692067,-16.25022357
"UNION CONSUMIDORES USUARIOS CANARIAS UCE",28.42252977,-16.30144449
"UNION CONSUMIDORES USUARIOS SANTA CRUZ DE TENERIFE UCE",28.42250390,-16.30150122
"ASOCIACION MIXTA COMPENSACION POLIGONO GUIMAR",28.46858983,-16.24814493
"CENTRO CIUDADANO SAN FRANCISCO DE PAULA",28.46481581,-16.32724163
"SERVICIO AYUDA DOMICILIO SADALIAR",28.46852942,-16.25186930
"ASOCIACION VECINOS LOS CAMPITOS",28.48621550,-16.26312984
CEOE,28.47592666,-16.24909194
ACOTE,28.47086855,-16.25161789
"SERVICIO AYUDA DOMICILIO GRUPO M SERVICIOS SOCIALES INTEGRADOS",28.46892171,-16.25145933
"RASTRO REMAS",28.46583719,-16.27200675
"SOCIALISTAS POR TENERIFE",28.46732195,-16.25606087
"CIRCULO AMISTAD XII ENERO",28.46869232,-16.24975544
"CENTRO SOCIAL CASAS DE LA CUMBRE",28.53719137,-16.23393223
